Sites to search,Reliability,Oped?,Pay?,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
+ACo-.engadget.com/+ACo-,Perennial,N?,N,,0x00061a14f3a802f4,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.engadget.com
+ACo-.eurogamer.net/+ACo-,Perennial,N,N,,,,,,,,
+ACo-.usgamer.net/+ACo-,Perennial,N,N,,,,,,,,
+ACo-.ew.com/+ACo-,Perennial,Y / Y,N,,0x00061a14f3bd2adf,1,,+AF8-include+AF8-,,original+AF8-url,ew.com
+ACo-.foreignaffairs.com/+ACo-,,,Y,,,,,,,,
+ACo-.foreignpolicy.com/+ACo-,,Y+ACo-,Y,,,,,,,,
+ACo-.france24.com/en/+ACo-,State Media Monitor,N?,N,,,,,,,,
+ACo-.ft.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a14f3d1d14c,1,,+AF8-include+AF8-,,original+AF8-url,ft.com
+ACo-.fullfact.org/+ACo-,Perennial,N,N,,0x00061a1531c0f6c7,1,,+AF8-include+AF8-,,original+AF8-url,fullfact.org
+ACo-.gamedeveloper.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a14f3e6bffd,1,,+AF8-include+AF8-,,original+AF8-url,gamedeveloper.com
+ACo-.gameinformer.com/+ACo-,Perennial,N?,N,,0x00061a14f3fb7b35,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.gameinformer.com
+ACo-.gamespot.com/+ACo-,Perennial,N,N,,,,,,,,
+ACo-.gamespot.co.uk/+ACo-,Perennial,N,N,,,,,,,,
+ACo-.gijn.org/stories/+ACo-,INN affiliate,N?,N,,,,,,,,
+ACo-.gizmodo.com/+ACo-,Perennial,N,N,Gizmodo bot only has 1 story,0x00061a14f422ef0b,1,,+AF8-include+AF8-,,original+AF8-url,Gizmodo.com
+ACo-.gq.com/+ACo-,Perennial,N,N,,0x00061a14f44722e5,1,,+AF8-include+AF8-,,original+AF8-url,gq.com
+ACo-.grubstreet.com/+ACo-,Perennial,Y,Y,,,,,,,,
+ACo-.haaretz.com/+ACo-,Perennial,Y,Y,,0x00061a14f4588074,1,,+AF8-include+AF8-,,original+AF8-url,haaretz.com
+ACo-.hardcoregaming101.net/+ACo-,Perennial,N,N,For articles by Kalata or Szczepaniak,,,,,,,
+ACo-.hollywoodreporter.com/+ACo-,Perennial,N,Y,,0x00061a14f4856c4e,1,,+AF8-include+AF8-,,original+AF8-url,hollywoodreporter.com
+ACo-.idolator.com/+ACo-,Perennial,Y+ACo-,N,Last reviewed in 2014+//3//f/9-,0x00061a14f49b7b32,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.idolator.com
+ACo-.illustrateddailynews.com/+ACo-,Perennial,Y / Y,N,,,,,,,,
+ACo-.indianexpress.com/+ACo-,Perennial,Y,Y,Still able to criticize BJP?,0x00061a14f4d356d8,1,,+AF8-include+AF8-,,original+AF8-url,indianexpress.com
+ACo-.inn.org/+ACo-,GIJN,N?,N,,,,,,,,
+ACo-.ipsnews.net/+ACo-,Perennial,Y+ACo-,N,,0x00061a14f4f899c7,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.ipsnews.net
+ACo-.iranicaonline.org/+ACo-,Perennial,N,N,,0x00061a14f394b947,1,,+AF8-include+AF8-,,original+AF8-url,iranicaonline.org
+ACo-.jamanetwork.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a1531d790aa,1,,+AF8-include+AF8-,,original+AF8-url,jamanetwork.com
+ACo-.journalismresearch.org/+ACo-,,N,N,,,,,,,,
+ACo-.jpost.com/+ACo-,Perennial,Y,Y+ACo-,,,,,,,,
+ACo-.kbs+AC0-america.com/+ACo-,State Media Monitor,N,N,some premium+AC0-only articles,,,,,,,
+ACo-.kirkusreviews.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a1531fe3ce3,1,,+AF8-include+AF8-,,original+AF8-url,kirkusreviews.com
+ACo-.knightfoundation.org/+ACo-,,N,N,,,,,,,,
+ACo-.knpr.org/+ACo-,INN,N,N,,,,,,,,
+ACo-.kqed.org/+ACo-,INN,Y / Y,N,,,,,,,,
+ACo-.latimes.com/+ACo-,Perennial,Y,Y,,0x00061a1532110518,1,,+AF8-include+AF8-,,original+AF8-url,latimes.com
+ACo-.metacritic.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a15324a22e2,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.metacritic.com
+ACo-.mg.co.za/+ACo-,Perennial,Y,Y,,0x00061a15322379eb,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.mg.co.za
+ACo-.mondediplo.com/+ACo-,Perennial,Y,Y,,0x00061a15325e3744,1,,+AF8-include+AF8-,,original+AF8-url,https://mondediplo.com/
+ACo-.motherjones.com/+ACo-,Perennial,N,N,,0x00061a149afa154d,1,,+AF8-include+AF8-,,original+AF8-url,motherjones.com
+ACo-.msnbc.com/+ACo-,Perennial,Y / Y,N,,0x00061a149afa1590,1,,+AF8-include+AF8-,,original+AF8-url,MSNBC.com
